등록번호,청구기호,소장/대여,제목,분야,유형,연도,판형,면수,부수,종이,인쇄 및 후가공,제본,ISBN/ISSN,저자/작가,기획자/편집자,사진가/일러스트레이터,디자이너,발행처,발행일,후원,원본경로
0441,,,Moon Hyeongtae: CHOCKABLOCK,미술,도록,2022,225×290,136,1000,팬시 리넨; 칼라플랜; 디자이너스칼라; 에어러스; 문켄 폴라; 문켄 폴라 러프,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-081-8,문형태; 이문정,최유니; 최지원,황정욱; 프린트베이커리,김박현정,가나아트,2022.12.15.,,이안북스/이안북스-문형태도록20221129
0442,,,Robert Therrien: at that time,미술,도록,2022,225×290,160,1000,두블레타; 크러쉬; 에어러스; 엔티랏샤,오프셋 인쇄; 별색 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-070-2,김선희,박정연; 박민혜; Lisa Shin,PrintFrame; 이동엽,Personal Purpose,가나아트,2022.05.24.,,이안북스/이안-로버트 테리엔 인쇄 20220524
0443,,,Roby Dwi Antono: Mystique Moonlight,미술,도록,2022,225×290,96,1000,팬시 리넨; 디자이너스칼라; 에어러스,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-080-1,Kris Imants Ercums,김가영; Lisa Shin,황정욱,인현진,가나아트,2022.11.18.,,이안북스/이안-로비드위안토노20221109
0444,,,Sarah Kim: Psychic Road Trip,미술,도록,2022,225×290,112,500,피네세; 칼라플랜; 에어러스,오프셋 인쇄; 별색 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-079-5,사라 킴,김가영; 임유권,황정욱,김박현정,가나아트,2022.09.30.,,이안북스/이안북스-사라킴 도록20220922
0445,,,their bright traces,미술,도록,2022,210×300,96,1000,아이리스; 그문드 커버 머티리얼; 에어러스,오프셋 인쇄; 별색 인쇄; 내지에 UV 출력; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-064-1,에드문드 드 발,박정연; 박민혜; 박신진; 임유권,Stephen White; Mike Bruce; Betty Jaresova,Jeeseop Kim,가나아트,2022.03.10.,,이안북스/이안-가나_에드문드 드 발 도록20220222
0446,,,곽수영: 심상의 빛,미술,도록,2022,237×290,96,500,듀오; 스펙트라; 에어러스,오프셋 인쇄; 별색 인쇄; 표지에 실크스크린; 표지에 박,사철 제본; 각양장; 오리꼬미; 삽지,979-11-5591-077-1,곽수영; 서영희,최유니; 김지은,Studio Photo Art; 황정욱,Personal Purpose; 임유민,가나아트,2022.08.30.,,이안북스/이안-가나 곽수영 도록 인쇄20220830
0447,00 A 216,원성연,"채성필: 경계, 흙으로부터",미술,도록,2022,225×290,138,500,팬시 리넨; 뉴칼라; 에어러스; 매그칼라; 아코프린트,오프셋 인쇄; 내지에 실크스크린; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-083-2,채성필; 윤진섭,최유니; 최지원,황정욱,에이오 그래픽스,가나아트,2022.12.30.,,이안북스/이안북스-채성필 도록20221213
0448,00 A 217,O,Ho Jae Kim: CASTAWAY,미술,도록,2023,130×190,112,500,레더텍스; 디자이너스칼라; 매직칼라; 에어러스,오프셋 인쇄; 표지에 박; 표지에 형압; 귀돌림,사철 제본; 각양장; 헤드밴드,979-11-5591-097-9,Ho Jae Kim; 권태현; Gabrielle Luu,박신진; Byeori Sung; Heyri Shin,전병철,에이오 그래픽스,가나아트,2023.09.12.,,이안북스/이안북스-호재킴 도록20240820
0449,,,LE TEMPS: AN ZONGDE,미술,도록,2023,225×290,124,500,듀오; 매그; 에어러스; 문켄 퓨어 러프,오프셋 인쇄; 표지에 형압; 표지에 박,사철 제본; 각양장; 오리꼬미; 헤드밴드,979-11-5591-093-1,안종대; 심상용,임유권; Yoonjoo Jeon,황정욱,Personal Purpose,가나아트,2023.08.19.,,이안북스/이안북스-안종대도록20230821
0450,00 A 218,원성연,오천룡 회고전: 창작과 싫증,미술,도록,2023,225×290,128,300,피네세; 디자이너스칼라; 에어러스,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-089-4,오천룡; 김형국; 홍현아,이보름; 최지원,황정욱; 이승열,에이오 그래픽스,가나아트,2023.05.31.,,이안북스/이안북스-오천룡도록20230428
0451,,,우제길: 빛의 고고학,미술,도록,2023,225×290,96,1000,큐리어스 매터; 디자이너스칼라; 에어러스; 에이프랑,오프셋 인쇄; 표지에 실크스크린,사철 제본; 각양장; 헤드밴드,979-11-5591-084-9,우제길; 심은록,최유니; 김지은,황정욱,Personal Purpose; 임유민,가나아트,2023.03.06.,,이안북스/이안-가나 우제길 도록20230307
0452,,,"이끼를 들어 올리는 사람, 임동식",미술,도록,2023,225×290,152,500,브릴리안타; 크러쉬; 페르가메나타; 에어러스; 키칼라,오프셋 인쇄; 표지에 실크스크린; 표지에 라미네이팅; 표지에 형압,사철 제본; 각양장; 삽지,979-11-5591-095-5,임동식; 김선희,이보름; 최지원,황정욱; 홍철기,임유민,가나아트,2023.11.30.,,이안북스/이안북스-가나임동식도록20231108
0453,00 A 219,원성연,Balancing,미술,도록,2024,225×290,120,1000,팬시메탈릭; 칼라플랜; 에어러스,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-5591-088-7,장마리아,이보름; 김지은,황정욱,에이오 그래픽스; 이안북스,가나아트,2024.08.26.,,00/2024년 10월작업진행/이안북스-장마리아 도록20241021
0454,00 A 220,O,김봉태: 축적,미술,도록,2024,225×290,168,500,에어러스,오프셋 인쇄; 표지에 박,사철 제본; 각양장,979-11-5591-096-2,김봉태,이보름; 김지은,권오열; 황정욱,이안; 손혜빈,가나아트,2024.06.24.,,이안북스/이안북스-김봉태 도록 20240719
0455,00 A 221,O,Aaron Johnson: New Light,미술,도록,2025,225×290,112,500,티엠보스; 칼라플랜; 랑데뷰,오프셋 인쇄,사철 제본; 각양장; 헤드밴드,979-11-5591-101-3,Aaron Johnson; 이설희,임육권,황정욱,손혜빈,가나아트,2025.05.10.,,00/2025년 04월작업진행/이안북스-애런 존슨 도록20250430
0456,00 A 222,O,"Aggregations: Resonance, In-between",미술,도록,2025,225×290,120,500,두블레타; 티엠보스; 랑데뷰; 리메이크,오프셋 인쇄; 표지에 형압; 표지에 박,사철 제본; 각양장; 접지; 헤드밴드,979-11-5591-099-3,전광영; 김복영; 심은록,이보름; 최지원,CKY STUDIO; 황정욱,손혜빈,가나아트,2025.02.14.,,00/2025년 01월작업진행/이안북스-전광영 도록20250117
0457,,,신령스러운 기운,미술,도록,2014,180×246,24,,,,,,박인식,,,,갤러리 뫼비우스,,,010개인작업자/바이오메카닉스/바이오메카닉스-박인식도록20140617
0458,00 A 223,이경수,Dimly,미술,도록,2013,190×250,48,500,모조지; 메리트,오프셋 인쇄,중철 제본,,임주연,,,워크룸,갤러리 버튼,2013.10.08.,,02워크룸1층/2013/임주연중철(다음)
0459,,,We met again 1 ep. 영재 개인전,미술,도록,2023,200×235,24,,,오프셋 인쇄; 표지에 박,,,영재,,서연,정지민,갤러리 자작나무,,,01거래처/정지민-영재 개인전20230721
0460,,,어비스,미술,도록,2016,228×252,280,,,,,978-89-967497-7-6,이동기,갤러리2; 전수연,김상태,SALMON,갤러리2,2016.,,010개인작업자/살몬(SANMOL)/살몬-이동기작가 도록20160809
0461,,,낱말들,미술,도록,2018,268×260,12,500,엔젤클로스; 몽블랑; 밍크,오프셋 인쇄,사철 제본; 각양장,979-11-88872-01-5,이동기; 전수연,갤러리2,김상태,나영선,갤러리2,2018.01.01.,,01거래처/GALLERY2/GALLERY2-이동기도록20180604
0462,,,Liam Gillick: There should be fresh springs...,미술,도록,2018,190×240,54,70,인스퍼 러프; 인스퍼 스무스,인디고 출력,PUR 제본,,,,Andrea Rossetti; Saverio Tonoli; Roman Morse,Liam Gillick,갤러리바톤,,,01거래처/갤러리바톤/갤러리바톤-리암 길릭 (Liam Gillick) 전시 도록 20181015
0463,,,There Should Be Fresh Springs…,미술,도록,2018,190×240,70,,,오프셋 인쇄; 표지에 박,,979-11-950389-6-1,Liam Gillick,,Andrea Rossetti; Saverio Tonoli; Roman Morse,Liam Gillick,갤러리바톤,2018.10.19.,,01거래처/갤러리바톤/갤러리바톤-Liam Gillick sept2018G 폴더
0464,,,Gallery Baton at Frieze London 2019,미술,도록,2019,165×221,72,,,,,,,,,갤러리바톤,갤러리바톤,2019.,,01거래처/갤러리바톤/갤러리바톤-고산금 도록20190925
0465,,,HANNAM THE HILL SCULPTURE PARK,미술,도록,2019,148×210,48,,,,,,야요이 쿠사마; 지석철; 벤테 스쾨트가; 왕열; 마티유 메르시에; 토니 크랙; 마놀로 발데스; 베르나르 브네; 파블로 레이노소; 케이지 우에마츠; 최병훈; 고조 니시노; 배리 플래나간; 데이비드 바첼러; 마크 퀸; 테츠야 나카무라; 린 채드윅; 이안 다벤포트; 이상민; 아드리아노 레베로네,,,챕터투,갤러리바톤; 챕터투,,,01거래처/챕터2/챕터투-한남더힐20190412
0466,00 A 224,O,The Ubiquity of Borders: Japanese Contemporary,미술,도록,2019,250×310,72,200,써밋; 씨알룩스; 밍크,오프셋 인쇄; 표지에 박; 표지에 형압,사철 제본; 각양장; 헤드밴드,979-11-950389-5-4,,,Daichi Ano; Kei Miyajima; Kei Okano; Keizo Kioku; Kenji Takahashi; Nobutada Omote; Studio Graffito,워크룸,갤러리바톤,2019.03.29.,,01거래처/갤러리바톤/갤러리바톤-일본현대미술도록 (작업 워크룸)20190208
0467,,,Indexing the Nature: From Near and Far Away,미술,도록,2022,165×220,180,,,오프셋 인쇄; 표지에 박,,,,,,,갤러리바톤,,,01거래처/갤러리바톤/갤러리바톤-코크스트릿 소책자20220426
0468,00 A 225,O,리너스 반 데 벨데: 큰 메아리,미술,도록,2025,225×300,144,500,씨알룩스; 스노우지; 매직칼라,오프셋 인쇄; 표지에 박,사철 제본; 각양장; 헤드밴드,979-11-980122-2-7,리너스 반 데 벨데,,Rhomi Martens,갤러리바톤,갤러리바톤,2025.,,00/2025년 12월작업진행/갤러리바톤-리너스 반 데 벨데20251203
0469,,,목신의 오후,미술,도록,2023,225×270,48,300,아르떼,오프셋 인쇄; 표지에 코팅,무선 제본,,정영환,,,정다혜,갤러리엠나인,2023.01.04.,,01거래처/한빛디자인/한빛디자인-정영환 작가 도록20221219
0470,00 A 226,유윤석,There is no there there,미술,도록,2014,177×243,54,500,마테리카; 르느와르; 클라우드,오프셋 인쇄; 표지에 박,PUR 제본; 삽지,978-89-959212-3-4,김현정,배세은,유재철,프랙티스,갤러리잔다리,2014.11.20.,갤러리잔다리,04프랙티스/김현정_도록 잔다리갤러리
0471,00 A 227,유윤석,조규성 — Divided Landscape,미술,도록,2014,215×280,72,300,모조지; 아트지,오프셋 인쇄; 표지에 CR 코팅,무선 제본,978-89-959212-2-7,조규성,,조규성,프랙티스,갤러리잔다리,2014.10.16.,,04프랙티스/잔다리갤러리
0472,,,LIFE VEST UNDER YOUR SEAT,미술,도록,2017,428×280,16,150,아트지; 미색 모조,오프셋 인쇄; 별색 인쇄; 표지에 톰슨,고무줄 제본; 접지; 중철 제본,,엄지은,나가람,,김은희,갤러리조선,,,김은희/김은희-엄지은도록20180529
0473,00 A 228,김성구,벌,미술,도록,2022,210×280,128,200,그문드 컬러매트; 모조지,오프셋 인쇄,노출 사철 제본,979-11-977763-1-1,김인선; 백필균; 우민정; 이승훈,김성구,정진우,김성구,갤러리조선,2022.03.31.,한국문화예술위원회; 문화체육관광부,김성구/김성구-우민정 벌 도록20220405
0474,00 A 229,O,우민정: Burning Dance,미술,도록,2024,210×280,104,100,올드밀; 모조지,오프셋 인쇄; 표지에 박,PUR 제본,979-11-977763-4-2,우민정; 최지혜,김성구,정진우; 김영삼,김성구,갤러리조선,2024.12.30.,한국문화예술위원회; 문화체육관광부,00/2025년 01월작업진행/김성구-우민정 버닝 댄스 도록20241227
0475,,,"Shim, Moon-seup",미술,도록,2014,235×270,72,,,,,,심문섭; 오광수,,,황신혜,갤러리현대,2014.09.03.,,010개인작업자/아트인컬쳐/아트인컬쳐-신문섭
0476,,,시퀀스#프로젝트,미술,도록,2019,148×210,72,300,미색 모조; 몽블랑,오프셋 인쇄,중철 제본,,김지희; 양말금; 이다흰; 이묘,공간 듬,바우포토,유희,공간 듬,,인천문화재단; 한국문화예술위원회; 인천광역시,01거래처/즈즈스(정유희)/정유희-듬_도록20190424
0477,,,메타모르포시스,미술,도록,2024,180×257,52,300,아트지,오프셋 인쇄; 별색 인쇄; 표지에 코팅,무선 제본,,고지은; 김진주; 박예원; 서준호,채영,장준호; 안현준,나영선,공간시은,,문화체육관광부; 예술경영지원센터,00/2024년 12월작업진행/알음알음-메타모르포시스20241219
0478,,,정성진 — DOCK,미술,도록,2023,150×225,160,160,매직칼라; 모조지; 아트지,오프셋 인쇄; 별색 인쇄,무선 제본,979-11-969354-2-9,정성진; 김은희; 권시우; 이아름,김다연,송정목,김다연,공간형,,,01거래처/김다연-dock도록20230615
0479,,,Blue Hours,미술,도록,2014,168×256,176,,슈퍼파인 스무스,오프셋 인쇄,,,김홍석,박지선; 하지현,안춘호,워크룸,국제갤러리,,,03워크룸2층/2014/김홍석 도록
0480,,,Absolute Lightspeed,미술,도록,2022,186×243,40,150,반누보; 아르떼,오프셋 인쇄; 표지에 형압,PUR 제본,979-11-977625-4-3,칼란 그레시아; 루뭄바 메템부,,스튜디오 그라피토,김성구,기체,2022.11.07.,,김성구/김성구-칼란 그레시아 도록20221128
0481,,,옥승철: 크리에이트 아웃라인즈,미술,도록,2023,210×297,96,2,CCP; 스노우지; 플라이크; 유포,오프셋 인쇄; 내지에 바니시 코팅,사철 제본; 오타바인딩,979-11-977625-5-0,정현; 야콥 파브리시우스,조희현,임장활; 양이언,신신; 인현진,기체,2023.05.31.,,신신/신신-옥승철도록20230517
0482,,,유예림: 조상의 지혜,미술,도록,2023,210×276,84,300,티엠보스; 인스퍼 스무스,오프셋 인쇄; 별색 인쇄; 표지에 박,스위스 바인딩; 날개,979-11-977625-6-7,임수영; 유예림; 마야 웨스트,임수영,스튜디오 그라피토,김성구,기체,2023.03.15.,,김성구/김성구-조상의 지혜 도록20230411
0483,00 A 230,O,귀 있는 자,미술,도록,2024,195×275,108,200,아트지; 모조지; 밍크; 레더라이크,오프셋 인쇄; 자켓에 박,무선 제본; 자켓,979-11-977625-7-4,이동혁,,,마빈 킴,기체,2024.11.01.,,00/2024년 11월작업진행/스파인 프레스-이동혁 도록20241024
0484,,,Pictures,미술,도록,2024,160×240,52,100,문켄 퓨어; 미색 모조; 모조지; 문켄 폴라 러프,오프셋 인쇄; 자켓에 박,중철 제본; 자켓,,류민지; 안소연; 문소영,씨클레프,양이언,씨클레프,누크갤러리,2024.11.27.,서울문화재단,00/2025년 07월작업진행/씨클레프-류민지 개인전도록20250714
0485,,,Cowboy Whistle,미술,도록,2023,180×265,104,300,아트지; 모조지,오프셋 인쇄; 표지에 박,무선 제본,,서원미; 조은영,조은영,양이언,y!,라흰갤러리,2023.11.30.,,01거래처/와이팩토리얼/와이팩토리얼-Cowboy Whistle 도록20231129
0486,00 A 231,O,심연의 불꽃,미술,도록,2018,223×300,104,1000,크러쉬; 문켄 폴라 러프,오프셋 인쇄; 자켓에 박,무선 제본,,전광영,,박종호,한빛디자인,뮤지엄 그라운드; 전광영 스튜디오,,캐딜락코리아; 국순당; 루치펠로코리아; 준액자,01거래처/한빛디자인/한빛디자인-심연의불꽃 도록20180928
0487,,,아무것도 아닌 듯... 성능경의 예술 행각,미술,도록,2023,210×265,328,200,문켄 폴라,오프셋 인쇄; 별색 인쇄; 표지에 형압,노출 사철 제본; 스위스 바인딩; 오리꼬미; 날개,979-8-9876991-0-2,성능경; 윤진섭; 조수진,수잔백; 조정열; 윤진섭,김규형; 김진현; 넷째; 권영일,이재진,백아트,,,이재진/이재진(백아트)-상능경도록20230510
0488,,,쌩~ 휙!,미술,도록,2025,148×210,96,,,,,,이영철; 강수정,방수민,안중필; 넷째,엑스트라스몰,백아트,2025.08.27.,,00/2025년 10월작업진행/엑스트라스몰-성능경 도록20251001
0489,,,사물들,미술,도록,2021,210×148,28,,,,,979-11-975287-1-2,성민화,,이재용,디자인누하,비아아트,2021.09.01.,,01거래처/디자인누하/디자인 누하-성민화작가 도록20210823
0490,00 A 232,유윤석,아르나우트 믹: 평행성,미술,도록,2015,210×297,16,4000,중질지,오프셋 인쇄,중철 제본,978-89-93535-32-7,김선정; 아르나우트 믹; 박혜진; 켈리 시들리,사무소,,프랙티스,사무소,2015.08.26.,몬드리안 펀드; 한국문화예술위원회,04프랙티스/프랙티스-아트선재_아르나우트 믹20150806
0491,,,확장된 기억,미술,도록,2017,148×210,40,,,오프셋 인쇄,,,강이다; 김상돈; 송희정; 진철규; OLTA,이현인; 김은주,주용성,맛깔손,산수문화,2017.11.15.,서울문화재단,01거래처/MHTL(최희은)/최희은-확장된 기억도록20171115
0492,,,다리없는 산책,미술,도록,2022,200×280,216,100,매직패브릭; 인스퍼 러프,오프셋 인쇄,노출 사철 제본,979-11-981262-0-7,박가은; 양효실; 정경빈,정경빈,양이언,박하늘,상업화랑,2022.12.28.,,01거래처/박하늘-다리없는산책 도록20221215
